test_subject,feature,training_mean,training_std
SC400,prev2_delta,0.7825755641548627,0.1267880586823875
SC400,prev2_theta,0.10588464708037257,0.055061636999792975
SC400,prev2_alpha,0.03963770918937962,0.05123437783556118
SC400,prev2_sigma,0.027884962894439574,0.033998492713132204
SC400,prev2_beta,0.022389803198969202,0.02843054320197605
SC400,prev2_rms,1.5335856329851692e-05,8.050452747526362e-06
SC400,prev2_std,1.5309370029401494e-05,8.056018405584948e-06
SC400,prev2_peak_to_peak,0.00011698660232080453,5.218755987677879e-05
SC400,prev2_zero_crossing_rate,0.10093637396526535,0.040158953995231894
SC400,prev2_spectral_entropy,4.247852315856484,0.6802541813168242
SC400,prev2_dominant_frequency,0.7290618406102906,0.6638018912920558
SC400,prev2_sef90,6.680327868852459,3.881791926586964
SC400,prev2_delta_theta_ratio,11.081719665868183,9.678436747710709
SC400,prev2_alpha_theta_ratio,0.36029332116045504,0.3583916968922347
SC400,prev2_sigma_theta_ratio,0.2694550679508432,0.30269396102619367
SC400,prev1_delta,0.7825853310749011,0.12677889065063963
SC400,prev1_theta,0.10588356297719896,0.05505650766592437
SC400,prev1_alpha,0.03963377608936838,0.0512354447182174
SC400,prev1_sigma,0.027882187602119003,0.03399906421797962
SC400,prev1_beta,0.022383019073440386,0.02842399009487445
SC400,prev1_rms,1.5339093530488598e-05,8.054123158844723e-06
SC400,prev1_std,1.531260133913447e-05,8.059681739156845e-06
SC400,prev1_peak_to_peak,0.00011700063616519058,5.219879211612615e-05
SC400,prev1_zero_crossing_rate,0.10093199155981168,0.040143353902697465
SC400,prev1_spectral_entropy,4.2480926787123074,0.6798377320475869
SC400,prev1_dominant_frequency,0.7291835740951145,0.6638286472810021
SC400,prev1_sef90,6.6795163122869665,3.88118912856904
SC400,prev1_delta_theta_ratio,11.07831972156203,9.670738950925601
SC400,prev1_alpha_theta_ratio,0.3602489153734389,0.3584079013264699
SC400,prev1_sigma_theta_ratio,0.269429068987645,0.3027025617763991
SC400,current_delta,0.7826131077243262,0.12678281554004098
SC400,current_theta,0.10586938542874963,0.055049378372716874
SC400,current_alpha,0.039629385247591346,0.05123735184927617
SC400,current_sigma,0.027881235051363282,0.03399962989688203
SC400,current_beta,0.02237740211691324,0.028423645302177857
SC400,current_rms,1.5345494062707856e-05,8.069512202726966e-06
SC400,current_std,1.531902749237168e-05,8.075133167734054e-06
SC400,current_peak_to_peak,0.00011701304055461171,5.223672899824703e-05
SC400,current_zero_crossing_rate,0.10092117080560511,0.040132609916929546
SC400,current_spectral_entropy,4.24787879043247,0.6801812244508835
SC400,current_dominant_frequency,0.7293053075799383,0.6638553798652579
SC400,current_sef90,6.678907644862847,3.8815531423421588
SC400,current_delta_theta_ratio,11.080622519916858,9.677463276006423
SC400,current_alpha_theta_ratio,0.36019184413501554,0.358386881826667
SC400,current_sigma_theta_ratio,0.26943572552919937,0.30270077845593873
SC401,prev2_delta,0.7606658374793167,0.14397217755232503
SC401,prev2_theta,0.1165394650606397,0.06899382315614665
SC401,prev2_alpha,0.045313842840812066,0.05491987041014829
SC401,prev2_sigma,0.02880956918334926,0.03412417524699903
SC401,prev2_beta,0.026140389939051302,0.03211158796219313
SC401,prev2_rms,1.718100634656374e-05,9.403748843149251e-06
SC401,prev2_std,1.7164727758490925e-05,9.40754285641321e-06
SC401,prev2_peak_to_peak,0.0001279808745630009,5.800358136829554e-05
SC401,prev2_zero_crossing_rate,0.11054594748858444,0.045594486158128056
SC401,prev2_spectral_entropy,4.312937405298306,0.7142448698413215
SC401,prev2_dominant_frequency,0.725513698630137,0.8324092739348723
SC401,prev2_sef90,7.130008561643836,4.134985870835295
SC401,prev2_delta_theta_ratio,10.356159728948752,8.947602283894431
SC401,prev2_alpha_theta_ratio,0.3776836185111689,0.36634946383535766
SC401,prev2_sigma_theta_ratio,0.26901401752120424,0.3071252964079789
SC401,prev1_delta,0.7606872386519444,0.14394952945739975
SC401,prev1_theta,0.11653138180454373,0.068989864253548
SC401,prev1_alpha,0.04531036168994998,0.05492079810447615
SC401,prev1_sigma,0.028807314529716507,0.03412452040251027
SC401,prev1_beta,0.02613235947227868,0.0321027321133999
SC401,prev1_rms,1.7186360943126524e-05,9.408402988081758e-06
SC401,prev1_std,1.7170078184565115e-05,9.412191440703494e-06
SC401,prev1_peak_to_peak,0.00012804264589288868,5.81101174299031e-05
SC401,prev1_zero_crossing_rate,0.11051141552511412,0.045523313164339066
